pc4,lat,lon
7397,52.296,6.057
9293,53.305,6.190
6841,51.969,5.898
8621,52.970,5.610
7121,51.926,6.591
4616,51.478,4.289
6862,51.983,5.846
8152,52.446,6.333
7894,52.719,7.042
7559,52.294,6.807
7351,52.122,5.897
9354,53.122,6.344
8816,53.202,5.618
7514,52.226,6.896
7316,52.229,5.964
1328,52.373,5.265
1401,52.278,5.170
2573,52.065,4.284
8372,52.737,5.948
1503,52.447,4.841
7471,52.236,6.584
2181,52.295,4.587
3415,51.982,4.865
7078,51.841,6.390
4285,51.813,4.997
7925,52.636,6.463
2544,52.044,4.257
7666,52.380,6.804
4233,51.954,4.964
3208,51.836,4.311
1718,52.717,4.938
3621,52.174,5.003
7562,52.302,6.879
5315,51.775,5.218
7431,52.289,6.151
1111,52.343,4.967
8084,52.414,5.879
4521,51.330,3.685
7974,52.775,6.184
5471,51.680,5.510
7582,52.259,7.000
9969,53.402,6.481
7788,52.631,6.653
1083,52.330,4.884
9073,53.323,5.801
5246,51.700,5.343
9736,53.249,6.601
8224,52.513,5.485
5375,51.744,5.682
9254,53.215,5.942
8479,52.859,5.948
9494,53.115,6.590
4283,51.787,5.032
9996,53.380,6.696
9251,53.194,5.993
2592,52.093,4.355
1077,52.346,4.874
3212,51.824,4.281
8303,52.709,5.735
3651,52.149,4.855
4482,51.481,3.918
5472,51.677,5.509
9862,53.221,6.307
5703,51.480,5.684
8745,53.070,5.478
4062,51.859,5.408
6422,50.845,6.003
3863,52.215,5.462
1318,52.382,5.249
5504,51.404,5.398
5306,51.817,5.091
4332,51.506,3.624
5396,51.800,5.464
9795,53.272,6.732
3774,52.152,5.672
3582,52.080,5.132
8275,52.536,6.013
9479,53.123,6.663
2021,52.393,4.643
1027,52.409,4.966
1968,52.522,4.655
8415,52.961,6.034
7423,52.254,6.208
4261,51.759,5.126
1734,52.718,4.877
8389,52.911,6.151
2665,52.012,4.537
4273,51.734,4.895
2408,52.121,4.650
4536,51.317,3.849
8293,52.567,6.006
4903,51.618,4.871
7119,51.966,6.661
3898,52.377,5.589
1696,52.669,5.116
4194,51.869,5.285
4382,51.452,3.570
3648,52.198,4.893
1781,52.956,4.768
7005,51.956,6.295
7605,52.350,6.654
9404,52.987,6.576
9906,53.382,6.861
3248,51.769,4.071
5443,51.690,5.862
8551,52.942,5.629
4235,51.957,4.951
1834,52.660,4.786
7091,51.865,6.487
5851,51.635,6.016
8241,52.539,5.457
2514,52.085,4.310
2263,52.097,4.400
5234,51.725,5.288
9678,53.146,6.988
9573,52.934,6.949
1057,52.368,4.855
9535,52.895,6.738
5406,51.653,5.620
5447,51.658,5.887
9122,53.350,6.034
8162,52.349,5.970
5953,51.283,6.079
8312,52.765,5.658
6131,50.999,5.866
5802,51.522,5.987
8281,52.621,6.040
6531,51.830,5.849
3065,51.925,4.552
6063,51.136,6.083
3533,52.087,5.086
5341,51.768,5.521
1444,52.523,4.963
1036,52.408,4.903
1186,52.286,4.867
6171,50.969,5.768
8485,52.848,5.882
1551,52.453,4.775
4122,51.942,5.137
9091,53.264,5.839
9974,53.339,6.304
9004,53.162,5.865
9521,52.964,6.943
8302,52.719,5.744
7003,51.963,6.306
4551,51.233,3.797
1406,52.270,5.155
1102,52.317,4.952
3703,52.080,5.227
6199,50.921,5.778
2493,52.061,4.398
2252,52.125,4.439
1055,52.380,4.852
6975,52.135,6.128
9057,53.233,5.785
7909,52.723,6.453
4142,51.889,5.081
6307,50.829,5.844
1716,52.706,4.946
2726,52.068,4.488
9108,53.273,5.994
4255,51.774,4.920
5213,51.695,5.326
5172,51.652,5.022
7813,52.757,6.865
7911,52.721,6.569
1113,52.349,4.981
7855,52.782,6.691
8855,53.218,5.485
2626,51.979,4.359
2953,51.871,4.646
8538,52.841,5.796
8822,53.129,5.478
8041,52.512,6.068
5089,51.497,5.207
2671,51.994,4.207
2377,52.212,4.643
6082,51.233,5.978
2623,51.984,4.361
4661,51.528,4.277
7463,52.311,6.496
7483,52.167,6.735
8628,53.054,5.695
8914,53.203,5.770
4001,51.886,5.431
1536,52.530,4.781
9883,53.302,6.394
6295,50.785,5.990
5266,51.661,5.234
8376,52.808,5.920
6225,50.862,5.732
7912,52.729,6.565
4706,51.527,4.492
9744,53.206,6.505
8512,52.981,5.774
2421,52.149,4.774
8772,53.048,5.610
2523,52.057,4.319
6134,50.991,5.851
5272,51.643,5.360
5262,51.644,5.284
8934,53.192,5.807
7134,51.986,6.613
6111,51.114,5.900
1663,52.722,4.999
4316,51.714,3.950
6595,51.705,5.987
4875,51.571,4.631
5817,51.564,6.004
2022,52.402,4.650
3335,51.821,4.612
8467,53.001,5.857
8121,52.337,6.117
3742,52.207,5.299
8895,53.395,5.327
7924,52.664,6.376
9403,53.015,6.586
8316,52.709,5.868
4265,51.736,5.086
9074,53.305,5.784
5391,51.726,5.437
4704,51.555,4.465
1436,52.274,4.753
7201,52.141,6.198
8266,52.543,5.924
2266,52.084,4.420
5331,51.771,5.333
8307,52.639,5.827
2082,52.419,4.630
5807,51.528,6.017
4825,51.613,4.770
2409,52.105,4.646
5392,51.731,5.427
4389,51.457,3.646
8458,52.999,5.945
8702,53.069,5.536
9794,53.301,6.710
